120	1106	0.239	0.000	0.055	0.144	0.001	0.187	0.137	0.004	0.147	0.023	0.063
121	1107	0.099	0.019	0.187	0.027	0.056	0.000	0.014	0.129	0.007	0.409	0.052
122	1108	0.034	0.012	0.003	0.255	0.129	0.002	0.096	0.084	0.371	0.001	0.013
123	1109	0.044	0.000	0.001	0.155	0.002	0.390	0.024	0.002	0.040	0.339	0.003
124	111	0.309	0.016	0.023	0.006	0.003	0.003	0.104	0.108	0.000	0.023	0.404
125	1110	0.031	0.000	0.218	0.124	0.006	0.301	0.102	0.002	0.003	0.208	0.005
126	1111	0.000	0.000	0.000	0.009	0.075	0.718	0.162	0.029	0.000	0.005	0.000
127	1112	0.088	0.005	0.017	0.148	0.023	0.141	0.365	0.008	0.002	0.195	0.009
128	1113	0.000	0.043	0.037	0.072	0.002	0.066	0.000	0.118	0.012	0.363	0.286
129	1114	0.100	0.001	0.025	0.121	0.002	0.127	0.161	0.028	0.122	0.159	0.157
130	1115	0.226	0.002	0.006	0.032	0.031	0.037	0.118	0.003	0.131	0.017	0.397
131	1116	0.438	0.008	0.005	0.052	0.170	0.000	0.000	0.296	0.000	0.018	0.013
132	1117	0.041	0.001	0.207	0.031	0.021	0.183	0.047	0.071	0.056	0.136	0.207
133	1118	0.047	0.005	0.021	0.013	0.005	0.137	0.015	0.050	0.585	0.122	0.000
134	1119	0.206	0.011	0.099	0.146	0.011	0.087	0.003	0.181	0.044	0.176	0.037
135	112	0.159	0.000	0.066	0.176	0.018	0.095	0.116	0.030	0.138	0.061	0.140
136	1120	0.190	0.004	0.078	0.014	0.034	0.019	0.330	0.033	0.149	0.100	0.049
137	1121	0.056	0.000	0.000	0.000	0.008	0.000	0.126	0.096	0.118	0.039	0.556
138	1122	0.006	0.001	0.000	0.000	0.123	0.000	0.024	0.062	0.001	0.229	0.554
139	1123	0.239	0.000	0.048	0.274	0.011	0.113	0.079	0.015	0.098	0.101	0.022
140	1124	0.143	0.041	0.322	0.022	0.061	0.133	0.052	0.145	0.022	0.040	0.019
141	1125	0.545	0.019	0.059	0.083	0.045	0.110	0.026	0.036	0.030	0.005	0.043
142	1126	0.071	0.013	0.082	0.154	0.000	0.235	0.097	0.103	0.013	0.218	0.013
143	1127	0.239	0.000	0.065	0.187	0.012	0.173	0.135	0.003	0.074	0.103	0.010
144	1128	0.170	0.000	0.052	0.094	0.006	0.132	0.224	0.069	0.015	0.111	0.126
145	1129	0.155	0.004	0.164	0.178	0.001	0.014	0.245	0.028	0.139	0.068	0.005
146	113	0.188	0.000	0.035	0.140	0.007	0.185	0.135	0.003	0.079	0.162	0.066
147	1130	0.183	0.003	0.106	0.193	0.016	0.131	0.114	0.021	0.023	0.153	0.058
148	1131	0.136	0.019	0.010	0.070	0.001	0.002	0.187	0.246	0.210	0.101	0.019
149	1132	0.227	0.000	0.008	0.163	0.003	0.176	0.076	0.025	0.039	0.146	0.136
150	1133	0.018	0.011	0.053	0.288	0.229	0.128	0.002	0.002	0.118	0.134	0.018
151	1134	0.156	0.000	0.116	0.069	0.021	0.146	0.224	0.016	0.149	0.087	0.015
152	1135	0.023	0.000	0.097	0.048	0.048	0.001	0.100	0.020	0.275	0.159	0.228
153	1136	0.158	0.000	0.045	0.184	0.020	0.208	0.084	0.007	0.074	0.092	0.129
154	1137	0.057	0.002	0.050	0.375	0.004	0.150	0.080	0.003	0.114	0.135	0.031
155	1138	0.003	0.004	0.232	0.241	0.005	0.001	0.000	0.026	0.066	0.215	0.207
156	1139	0.342	0.002	0.024	0.202	0.033	0.098	0.052	0.047	0.025	0.066	0.110
157	114	0.007	0.055	0.062	0.099	0.059	0.001	0.153	0.118	0.000	0.298	0.148
158	1140	0.206	0.002	0.081	0.200	0.030	0.014	0.159	0.028	0.092	0.176	0.011
159	1141	0.239	0.000	0.032	0.126	0.055	0.008	0.186	0.079	0.039	0.036	0.200
160	1142	0.068	0.001	0.028	0.173	0.003	0.163	0.106	0.109	0.092	0.042	0.215
161	1143	0.264	0.002	0.060	0.107	0.047	0.291	0.001	0.064	0.001	0.151	0.014
162	1144	0.215	0.004	0.039	0.312	0.077	0.001	0.095	0.098	0.006	0.120	0.033
163	1145	0.262	0.001	0.062	0.045	0.006	0.064	0.072	0.049	0.116	0.248	0.075
164	1146	0.083	0.021	0.102	0.012	0.037	0.004	0.158	0.120	0.006	0.267	0.190
165	1147	0.225	0.000	0.041	0.137	0.001	0.100	0.196	0.005	0.192	0.081	0.022
166	1148	0.036	0.176	0.158	0.313	0.001	0.000	0.214	0.101	0.000	0.001	0.000
167	1149	0.468	0.000	0.015	0.045	0.068	0.210	0.000	0.000	0.000	0.193	0.000
168	115	0.000	0.031	0.000	0.000	0.743	0.000	0.083	0.126	0.000	0.000	0.017
169	1150	0.143	0.000	0.108	0.055	0.018	0.020	0.192	0.013	0.285	0.130	0.036
170	1151	0.221	0.017	0.402	0.026	0.137	0.032	0.001	0.007	0.052	0.027	0.079
171	1152	0.093	0.015	0.094	0.001	0.001	0.285	0.010	0.078	0.037	0.383	0.002
172	1153	0.000	0.060	0.000	0.170	0.001	0.323	0.436	0.010	0.000	0.000	0.000
173	1154	0.230	0.038	0.038	0.082	0.027	0.193	0.105	0.072	0.034	0.169	0.013
174	1155	0.350	0.027	0.026	0.003	0.001	0.000	0.006	0.379	0.127	0.079	0.002
175	1156	0.081	0.011	0.088	0.253	0.074	0.161	0.240	0.001	0.001	0.066	0.025
176	1157	0.178	0.000	0.057	0.127	0.036	0.124	0.153	0.020	0.154	0.015	0.136
177	1158	0.335	0.001	0.134	0.155	0.055	0.218	0.003	0.011	0.000	0.000	0.088
178	1159	0.114	0.000	0.024	0.192	0.018	0.060	0.273	0.007	0.107	0.103	0.102
179	116	0.009	0.033	0.011	0.193	0.072	0.147	0.000	0.147	0.026	0.361	0.002
180	1160	0.060	0.004	0.086	0.039	0.046	0.070	0.138	0.117	0.094	0.089	0.258
181	1161	0.173	0.000	0.039	0.187	0.004	0.116	0.172	0.003	0.107	0.115	0.086
182	1162	0.250	0.005	0.001	0.319	0.076	0.091	0.045	0.109	0.030	0.069	0.005
183	1163	0.240	0.000	0.070	0.100	0.003	0.035	0.132	0.007	0.238	0.089	0.085
184	1164	0.227	0.001	0.111	0.102	0.025	0.193	0.038	0.014	0.030	0.235	0.023
185	1165	0.010	0.000	0.380	0.018	0.335	0.007	0.000	0.008	0.001	0.242	0.000
186	1166	0.077	0.006	0.096	0.033	0.267	0.019	0.018	0.012	0.390	0.081	0.001
187	1167	0.024	0.002	0.317	0.370	0.079	0.085	0.007	0.003	0.010	0.088	0.015
188	1168	0.156	0.014	0.004	0.008	0.026	0.217	0.052	0.279	0.046	0.190	0.008
189	1169	0.250	0.000	0.047	0.073	0.001	0.061	0.224	0.047	0.187	0.066	0.044
190	117	0.287	0.000	0.034	0.212	0.016	0.076	0.099	0.009	0.015	0.091	0.160
191	1170	0.434	0.007	0.087	0.138	0.001	0.011	0.025	0.025	0.086	0.165	0.022
192	1171	0.170	0.000	0.043	0.130	0.002	0.155	0.198	0.029	0.104	0.100	0.069
193	1172	0.194	0.003	0.061	0.155	0.055	0.036	0.053	0.039	0.141	0.147	0.117
194	1173	0.197	0.000	0.029	0.157	0.003	0.110	0.221	0.001	0.110	0.101	0.071
195	1174	0.208	0.000	0.110	0.028	0.011	0.049	0.176	0.084	0.064	0.097	0.171
196	1175	0.270	0.003	0.138	0.148	0.059	0.131	0.053	0.046	0.055	0.008	0.090
197	1176	0.162	0.034	0.010	0.460	0.005	0.031	0.123	0.048	0.004	0.120	0.002
198	1177	0.137	0.000	0.059	0.173	0.020	0.071	0.215	0.004	0.063	0.177	0.082
199	1178	0.417	0.026	0.082	0.000	0.079	0.131	0.006	0.212	0.000	0.040	0.008
200	1179	0.109	0.007	0.035	0.222	0.003	0.055	0.149	0.124	0.041	0.242	0.013
201	118	0.315	0.001	0.041	0.061	0.007	0.134	0.137	0.092	0.010	0.072	0.130
202	1180	0.018	0.001	0.055	0.040	0.001	0.169	0.216	0.090	0.000	0.172	0.237
203	1181	0.216	0.000	0.022	0.031	0.002	0.007	0.318	0.078	0.045	0.117	0.163
204	1182	0.253	0.023	0.053	0.096	0.090	0.000	0.434	0.003	0.001	0.043	0.004
205	1183	0.171	0.000	0.072	0.285	0.019	0.001	0.134	0.028	0.002	0.122	0.164
206	1184	0.113	0.001	0.178	0.090	0.003	0.139	0.149	0.047	0.022	0.063	0.195
207	1185	0.014	0.026	0.010	0.503	0.008	0.083	0.265	0.072	0.003	0.015	0.000
208	1186	0.073	0.015	0.014	0.178	0.005	0.036	0.014	0.030	0.146	0.295	0.196
209	1187	0.099	0.000	0.115	0.120	0.019	0.109	0.070	0.020	0.116	0.191	0.140
210	1188	0.017	0.000	0.132	0.040	0.075	0.207	0.228	0.007	0.010	0.083	0.200
211	1189	0.127	0.001	0.043	0.276	0.034	0.311	0.003	0.001	0.088	0.113	0.004
212	119	0.000	0.003	0.001	0.020	0.111	0.158	0.588	0.005	0.002	0.099	0.014
213	1190	0.234	0.004	0.357	0.033	0.118	0.037	0.000	0.000	0.019	0.002	0.194
